"user_id,""activity_date"",""game_activity_name"",""total_seconds"""
"9nB4N3m82ypCK7nU2bHlsg==,""2022-07-31"",game 3: Battle pass challenges,57"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-08-24"",game 3: Battle pass challenges,17885"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-08-25"",game 3: Battle pass challenges,75217"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-08-26"",game 3: Battle pass challenges,5073"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-08-31"",game 3: Battle pass challenges,28568"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-09-08"",game 3: Battle pass challenges,20"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-09-12"",game 3: Battle pass challenges,25400"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-09-16"",game 3: Battle pass challenges,23359"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-10-18"",game 3: Battle pass challenges,5814"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-10-30"",game 3: Battle pass challenges,6908"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-11-13"",game 3: Battle pass challenges,2178"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-11-22"",game 3: Battle pass challenges,6307"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-03-21"",game 3: Battle pass challenges,3966"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-03-22"",game 3: Battle pass challenges,21199"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-12-04"",game 3: Battle pass challenges,6159"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-03-30"",game 3: Battle pass challenges,14990"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-03-31"",game 3: Battle pass challenges,7440"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-12-21"",game 3: Battle pass challenges,47406"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-04-15"",game 3: Battle pass challenges,8278"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-12-28"",game 3: Battle pass challenges,60292"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-04-27"",game 3: Battle pass challenges,70527"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-05-17"",game 3: Battle pass challenges,27418"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-05-30"",game 3: Battle pass challenges,61341"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-06-04"",game 3: Battle pass challenges,10943"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-06-10"",game 3: Battle pass challenges,19803"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-06-12"",game 3: Battle pass challenges,5768"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-06-20"",game 3: Battle pass challenges,54973"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-06-21"",game 3: Battle pass challenges,58787"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-06-26"",game 3: Battle pass challenges,43575"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-06-27"",game 3: Battle pass challenges,45564"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-07-02"",game 3: Battle pass challenges,22264"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-07-05"",game 3: Battle pass challenges,37318"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-07-07"",game 3: Battle pass challenges,70069"
"9nB4N3m82ypCK7nU2bHlsg==,""2022-07-15"",game 3: Battle pass challenges,31079"
